Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Fix_quality
1664827798.5759885,0,72598,871176,GPS1_Frame,42.338946,-71.08777366666666,17.1,328012.5552551319,4689521.067645703,19,T,5
1664827799.527447,0,72599,871188,GPS1_Frame,42.33895066666667,-71.08777533333334,17.2,328012.43067530624,4689521.589214752,19,T,5
1664827800.5381389,0,72600,871200,GPS1_Frame,42.33895833333333,-71.08778016666666,17.2,328012.0533989656,4689522.450316262,19,T,5
1664827801.539108,0,72601,871212,GPS1_Frame,42.33896516666667,-71.08778566666666,17.3,328011.61892949836,4689523.220230941,19,T,5
1664827802.5342212,0,72602,871224,GPS1_Frame,42.3389705,-71.08779116666666,17.4,328011.1803704875,4689523.8235820485,19,T,5
1664827803.5598187,0,72603,871236,GPS1_Frame,42.33897583333334,-71.08779750000001,17.4,328010.67316005565,4689524.428618795,19,T,5
1664827804.5465574,0,72604,871248,GPS1_Frame,42.33898133333334,-71.08780516666667,17.5,328010.0565617356,4689525.05485963,19,T,5
1664827805.5472925,0,72605,871260,GPS1_Frame,42.3389875,-71.08781,17.7,328009.6751962169,4689525.749397685,19,T,5
1664827806.5583787,0,72606,871272,GPS1_Frame,42.3389805,-71.08782599999999,20.5,328008.338002361,4689525.0044648815,19,T,4
1664827807.5709682,0,72607,871284,GPS1_Frame,42.33898066666667,-71.08782666666666,20.1,328008.28353557806,4689525.024320455,19,T,5
1664827808.5478754,0,72608,871296,GPS1_Frame,42.338982666666666,-71.08782466666666,19.9,328008.45375211013,4689525.2423597425,19,T,5
1664827809.5658429,0,72609,871308,GPS1_Frame,42.338985,-71.08782266666667,19.8,328008.6248774557,4689525.497413166,19,T,5
1664827810.5514028,0,72610,871320,GPS1_Frame,42.338987333333336,-71.087821,19.8,328008.76854219346,4689525.753140847,19,T,5
1664827811.5624025,0,72611,871332,GPS1_Frame,42.338991333333325,-71.08782066666666,19.9,328008.8069086651,4689526.1966362,19,T,5
1664827812.5594509,0,72612,871344,GPS1_Frame,42.33899666666666,-71.08782416666666,20.0,328008.53311363346,4689526.795941984,19,T,5
1664827813.5668354,0,72613,871356,GPS1_Frame,42.339001333333336,-71.0878275,20.2,328008.27123129764,4689527.320882387,19,T,5
1664827814.5457137,0,72614,871368,GPS1_Frame,42.339005,-71.08783316666667,20.8,328007.8143984091,4689527.739500183,19,T,5
1664827815.5559597,0,72615,871380,GPS1_Frame,42.33900983333333,-71.08783749999999,21.1,328007.47058882925,4689528.284970449,19,T,5
1664827816.5399673,0,72616,871392,GPS1_Frame,42.33901383333333,-71.08784333333332,21.6,328007.000934595,4689528.740939564,19,T,5
1664827817.5609891,0,72617,871404,GPS1_Frame,42.33901666666667,-71.08784983333334,22.0,328006.47317833477,4689529.068707764,19,T,5
1664827818.550576,0,72618,871416,GPS1_Frame,42.33902183333333,-71.0878545,22.2,328006.10281718406,4689529.651866498,19,T,5
1664827819.573616,0,72619,871428,GPS1_Frame,42.339029,-71.08785883333333,22.5,328005.76536972035,4689530.456435799,19,T,5
1664827820.1262703,0,72620,871440,GPS1_Frame,42.33903416666667,-71.08786466666668,23.0,328005.2988966976,4689531.041954506,19,T,5
1664827821.131783,0,72621,871452,GPS1_Frame,42.3390355,-71.08787116666667,23.9,328004.76705088525,4689531.203159236,19,T,5
1664827822.1166613,0,72622,871464,GPS1_Frame,42.339037999999995,-71.087875,24.5,328004.4580706487,4689531.488519326,19,T,5
1664827823.1318033,0,72623,871476,GPS1_Frame,42.339042,-71.087879,24.8,328004.1394499699,4689531.940780169,19,T,5
1664827824.1504366,0,72624,871488,GPS1_Frame,42.339047,-71.0878835,24.8,328003.78236503527,4689532.505094839,19,T,5
1664827825.0962026,0,72625,871500,GPS1_Frame,42.33905316666666,-71.0878865,24.3,328003.55203369533,4689533.195924771,19,T,5
1664827826.131718,0,72626,871512,GPS1_Frame,42.33905849999999,-71.08789183333333,24.2,328003.12720632576,4689533.798939294,19,T,5
1664827827.1150594,0,72627,871524,GPS1_Frame,42.33906183333333,-71.08789666666667,24.0,328002.7381167264,4689534.178857626,19,T,5
1664827828.1319582,0,72628,871536,GPS1_Frame,42.33906283333334,-71.087902,23.9,328002.3014743114,4689534.300688457,19,T,5
1664827829.1396334,0,72629,871548,GPS1_Frame,42.33906183333333,-71.0879085,23.8,328001.7632667728,4689534.202794485,19,T,5
1664827830.143131,0,72630,871560,GPS1_Frame,42.33905933333334,-71.08791283333333,23.6,328001.39946298406,4689533.93395412,19,T,5
1664827831.087472,0,72631,871572,GPS1_Frame,42.339056666666664,-71.08791849999999,23.3,328000.925362475,4689533.649303839,19,T,5
1664827832.1279385,0,72632,871584,GPS1_Frame,42.33905416666666,-71.08792383333333,23.1,328000.47917692596,4689533.382486368,19,T,5
1664827833.1359544,0,72633,871596,GPS1_Frame,42.33905216666667,-71.08792933333334,23.1,328000.0206243687,4689533.171527271,19,T,5
1664827834.1496944,0,72634,871608,GPS1_Frame,42.339052333333335,-71.08793250000001,23.0,327999.76020342216,4689533.196440063,19,T,5
1664827835.1214511,0,72635,871620,GPS1_Frame,42.33905083333334,-71.0879365,22.8,327999.42658669443,4689533.037967915,19,T,5
1664827836.1410844,0,72636,871632,GPS1_Frame,42.33904883333333,-71.08793999999999,22.6,327999.13279748533,4689532.822963144,19,T,5
1664827837.1097603,0,72637,871644,GPS1_Frame,42.339043666666676,-71.08793983333334,22.6,327999.1324401903,4689532.248906918,19,T,2
1664827838.1435282,0,72638,871656,GPS1_Frame,42.339037833333336,-71.08794133333335,21.9,327998.9929622875,4689531.604193869,19,T,5
1664827839.1432626,0,72639,871668,GPS1_Frame,42.339033500000006,-71.08793883333333,21.8,327999.1871012051,4689531.11795295,19,T,5
1664827840.144332,0,72640,871680,GPS1_Frame,42.33902766666667,-71.08793583333333,21.7,327999.41834108124,4689530.464136999,19,T,5
1664827841.1206305,0,72641,871692,GPS1_Frame,42.33902233333333,-71.087933,21.7,327999.6372140241,4689529.866179403,19,T,5
1664827842.159022,0,72642,871704,GPS1_Frame,42.339017,-71.087932,21.6,327999.7050538121,4689529.271930392,19,T,5
1664827843.1261408,0,72643,871716,GPS1_Frame,42.339012000000004,-71.087929,21.5,327999.9385659864,4689528.7106498005,19,T,5
1664827844.1308923,0,72644,871728,GPS1_Frame,42.33900700000001,-71.0879255,21.4,328000.2132690815,4689528.148357791,19,T,5
1664827845.0877929,0,72645,871740,GPS1_Frame,42.33900283333334,-71.08792266666666,21.4,328000.43532321753,4689527.679949694,19,T,5
1664827846.1437025,0,72646,871752,GPS1_Frame,42.33899816666667,-71.0879175,21.1,328000.8482382126,4689527.1513004275,19,T,5
1664827847.1098213,0,72647,871764,GPS1_Frame,42.3389935,-71.08791266666667,20.9,328001.2336926805,4689526.623325467,19,T,5
1664827848.1371164,0,72648,871776,GPS1_Frame,42.338988500000006,-71.08790933333333,20.9,328001.49466567265,4689526.061370655,19,T,5
1664827849.133571,0,72649,871788,GPS1_Frame,42.3389835,-71.08790533333334,20.8,328001.8105599051,4689525.498067295,19,T,5
1664827850.1388812,0,72650,871800,GPS1_Frame,42.338979,-71.08790216666667,20.7,328002.05916597985,4689524.991970847,19,T,5
1664827851.1206503,0,72651,871812,GPS1_Frame,42.33897466666667,-71.08789866666666,20.5,328002.335687125,4689524.503707199,19,T,5
1664827852.1380677,0,72652,871824,GPS1_Frame,42.33897,-71.08789466666667,20.4,328002.6524903537,4689523.977418018,19,T,5
1664827853.1041207,0,72653,871836,GPS1_Frame,42.33896333333334,-71.08789233333333,20.3,328002.8265374941,4689523.232415419,19,T,5
1664827854.139912,0,72654,871848,GPS1_Frame,42.33895600000001,-71.08788750000001,20.2,328003.20472152904,4689522.408327512,19,T,5
1664827855.1275308,0,72655,871860,GPS1_Frame,42.33894883333334,-71.08788299999999,20.4,328003.55589947756,4689521.603420966,19,T,5
1664827856.128443,0,72656,871872,GPS1_Frame,42.338943,-71.08788,20.5,328003.7871401387,4689520.949605189,19,T,5
1664827857.1180577,0,72657,871884,GPS1_Frame,42.33893783333333,-71.08787716666667,20.6,328004.0064682308,4689520.370154825,19,T,5
1664827858.146493,0,72658,871896,GPS1_Frame,42.33893200000001,-71.08787333333333,20.6,328004.3063605279,4689519.714653398,19,T,5
1664827859.1216447,0,72659,871908,GPS1_Frame,42.33892666666667,-71.08786733333334,20.5,328004.78611018625,4689519.110290456,19,T,5
1664827860.1102724,0,72660,871920,GPS1_Frame,42.33892116666666,-71.08786283333333,20.5,328005.1418327054,4689518.490454669,19,T,5
1664827861.1307802,0,72661,871932,GPS1_Frame,42.33891533333334,-71.0878595,20.3,328005.4005342624,4689517.835964696,19,T,5
1664827862.1182938,0,72662,871944,GPS1_Frame,42.33890983333334,-71.087856,20.3,328005.6738750227,4689517.218151732,19,T,5
1664827863.1102276,0,72663,871956,GPS1_Frame,42.338905000000004,-71.08785116666667,20.3,328006.05887602665,4689516.671670006,19,T,5
1664827864.0947013,0,72664,871968,GPS1_Frame,42.338899833333336,-71.087847,20.2,328006.3880469941,4689516.089522687,19,T,5
1664827865.1163292,0,72665,871980,GPS1_Frame,42.338898333333326,-71.0878395,20.0,328007.00182149495,4689515.907788277,19,T,5
1664827866.141155,0,72666,871992,GPS1_Frame,42.33889933333333,-71.08783366666667,19.9,328007.48510905536,4689516.007031198,19,T,5
1664827867.106907,0,72667,872004,GPS1_Frame,42.338901333333325,-71.08782833333333,20.2,328007.92993212916,4689516.218327929,19,T,5
1664827868.1419392,0,72668,872016,GPS1_Frame,42.338904666666664,-71.08781900000001,20.1,328008.7079180274,4689516.569590212,19,T,5
1664827869.1329684,0,72669,872028,GPS1_Frame,42.33890800000001,-71.08781083333334,19.9,328009.3897916473,4689516.923212447,19,T,5
1664827870.1381662,0,72670,872040,GPS1_Frame,42.33890983333334,-71.08780333333334,20.0,328010.01265427493,4689517.111619635,19,T,5
1664827871.104201,0,72671,872052,GPS1_Frame,42.33891116666667,-71.08779533333333,20.1,328010.67534459295,4689517.243494313,19,T,5
1664827872.115157,0,72672,872064,GPS1_Frame,42.33891400000001,-71.08778733333334,20.2,328011.3421245149,4689517.541932653,19,T,5
1664827873.1181817,0,72673,872076,GPS1_Frame,42.33891666666667,-71.08778066666667,20.3,328011.89860747353,4689517.824560938,19,T,5
1664827874.1329703,0,72674,872088,GPS1_Frame,42.3389195,-71.087773,20.1,328012.5379266606,4689518.123673625,19,T,5
1664827875.1420572,0,72675,872100,GPS1_Frame,42.33892283333333,-71.08777083333332,20.2,328012.7255087168,4689518.489432429,19,T,5
1664827876.1248784,0,72676,872112,GPS1_Frame,42.33892300000001,-71.08777233333333,20.2,328012.6023903148,4689518.510973556,19,T,5
1664827877.1135976,0,72677,872124,GPS1_Frame,42.33892266666667,-71.08777400000001,20.2,328012.4641784003,4689518.4773306,19,T,5
